selection_rank,material_id,formula,split,space_group,fingerprint,a,c,c_over_a,nsites,peak_count,restandardized
1,mp-1215558,ZnAg2GeS4,train,82,c43ba8cbd1ec351606541614f8c6dbb1d7ea78fc2529dfc2b43673390e8ceb08,5.798704,10.524942,1.8150507423727784,8,45,False
2,mp-1199451,B2S3,train,88,fb3864e7b351e3cead008d54e41f46d9de1d2d7092d7c66ad514b5e02157ac41,16.26974947,30.638072960000034,1.8831312071826287,250,616,False
3,mp-1207543,Zn10Ge(B4Rh9)2,train,127,bfaba3aa0589b6630172d7a10356b3a901b138b4ee6915645297628d405c496e,17.7356867,2.86226909,0.16138473454202368,74,169,False
4,mp-30665,Ga17Rh10,train,116,92338c5da6d2731612dd271c6f302c2700ba090695e8202908b254ca489d5654,5.879876,48.233912,8.203219251562446,108,113,False
