seed,method_id,method_name,mean_embedding_cosine_distance,mean_prediction_js_divergence,prediction_flip_rate,mean_true_probability_drop,mean_true_margin_drop,sim_accuracy,real_accuracy
20260711,js_consistency_transfer,JS Consistency,0.31880836234063337,0.23607506921542887,0.5062893081761006,0.13037944008719246,0.2793197476264066,0.36477987421383645,0.22012578616352202
20260711,ordinary_dynamic_augmentation,Dynamic ERM,0.42269710891131607,0.3055259858192615,0.5377358490566038,0.14267620931631364,0.2773105914487779,0.33962264150943394,0.1949685534591195
20260712,js_consistency_transfer,JS Consistency,0.3755409739022153,0.28243795000102373,0.559748427672956,0.19364647951515965,0.37183660306270766,0.4119496855345912,0.18867924528301888
20260712,ordinary_dynamic_augmentation,Dynamic ERM,0.3550364267771903,0.2862991703948365,0.5094339622641509,0.15874245031824652,0.3062689572385272,0.33647798742138363,0.18238993710691823
20260713,js_consistency_transfer,JS Consistency,0.36184850226787996,0.26920390771689817,0.5188679245283019,0.14784373577285861,0.2781522545799519,0.36163522012578614,0.2138364779874214
20260713,ordinary_dynamic_augmentation,Dynamic ERM,0.4025164081559811,0.29518473492314357,0.5031446540880503,0.1272442732592049,0.24387293791620987,0.34276729559748426,0.21069182389937108
20260714,js_consistency_transfer,JS Consistency,0.30464966824664264,0.20281609707140955,0.49056603773584906,0.12409464105869988,0.23102251782357316,0.34276729559748426,0.2138364779874214
20260714,ordinary_dynamic_augmentation,Dynamic ERM,0.3971505638744801,0.3105762386874047,0.5283018867924528,0.16911187430597702,0.29978316516246434,0.3836477987421384,0.22327044025157233
20260715,js_consistency_transfer,JS Consistency,0.3143207398302042,0.22594853882336371,0.449685534591195,0.13359909106350545,0.2670089986714177,0.3584905660377358,0.2138364779874214
20260715,ordinary_dynamic_augmentation,Dynamic ERM,0.4824634607961845,0.33750436632370157,0.5628930817610063,0.19333599985770458,0.4033831537894483,0.3867924528301887,0.18867924528301888
