training_seed,evaluation_seed,profile,erm_macro_f1,js_macro_f1,delta_macro_f1,erm_accuracy,js_accuracy,delta_accuracy,erm_ece,js_ece,delta_ece,erm_nll,js_nll,delta_nll,erm_brier,js_brier,delta_brier,erm_mean_confidence,js_mean_confidence,delta_mean_confidence,erm_mean_entropy,js_mean_entropy,delta_mean_entropy
20260711,20260721,in_range,0.6949786175124558,0.7217816586122047,0.026803041099748848,0.6960644855381698,0.7221431958274064,0.026078710289236584,0.22346692652767902,0.149065736686522,-0.07440118984115701,1.8646293154462428,1.0317044723030961,-0.8329248431431466,0.5069381745018514,0.41829737686789054,-0.08864079763396088,0.9191836650589734,0.8712089325139284,-0.04797473254504503,0.20524087539880953,0.3334685420183336,0.12822766661952406
20260711,20260721,level0,0.6969800325643246,0.7236251275752741,0.02664509501094947,0.6984352773826458,0.7240398293029872,0.02560455192034139,0.2209413617976529,0.1500442671289711,-0.0708970946686818,1.8275045097361167,1.0244626384845836,-0.803041871251533,0.4960855203188472,0.4162581307006577,-0.07982738961818947,0.9193766391802988,0.8736773111516122,-0.04569932802868659,0.20228780966158735,0.3276900302709521,0.12540222060936476
20260711,20260721,ood_all,0.3451239483753939,0.395919151253799,0.05079520287840511,0.34708392603129445,0.41488857278330965,0.0678046467520152,0.49547847858137745,0.35758544574591045,-0.137893032835467,4.718264193680575,3.1116440127815346,-1.6066201808990406,1.096621212867319,0.8934078476010836,-0.20321336526623535,0.8425624046126718,0.77247401852922,-0.0700883860834518,0.4100754211749935,0.5921090728394929,0.18203365166449936
20260711,20260721,ood_background,0.6845248502836292,0.7147448119066092,0.03021996162298002,0.6865813181602656,0.7150308202939782,0.028449502133712667,0.2290496319716098,0.15475216427364868,-0.07429746769796111,1.919713463681153,1.0469998435316246,-0.8727136201495285,0.5232822092414715,0.4261629184069443,-0.0971192908345272,0.9148643786673186,0.8697829845676268,-0.04508139409969181,0.21781431429272868,0.3368245805251931,0.11901026623246441
20260711,20260721,ood_broadening,0.4460325031933818,0.6233793198092837,0.17734681661590196,0.4400189663347558,0.6230440967283073,0.1830251303935515,0.4585374205414296,0.21762809916207324,-0.24090932137935636,5.522526587074232,1.7114591024722865,-3.8110674846019457,0.9805014944174467,0.5785045738802927,-0.40199692053715397,0.898178310403331,0.8402030152582681,-0.05797529514506283,0.2607556158176187,0.4102787508372383,0.1495231350196196
20260711,20260721,ood_combo_background_noise,0.6363712152012821,0.649496279534623,0.013125064333340819,0.6344238975817923,0.6481744902797535,0.013750592697961195,0.25834268684803224,0.18358246327124822,-0.07476022357678402,2.2023123390450214,1.3437904931048612,-0.8585218459401602,0.6137277729996048,0.5303145631710121,-0.08341320982859268,0.8927300038525368,0.8317569535510017,-0.0609730503015351,0.2732617993411703,0.4359184188079873,0.16265661946681703
20260711,20260721,ood_combo_shift_broadening,0.4375171173408034,0.6214854809016792,0.18396836356087581,0.43243243243243246,0.6220957799905168,0.18966334755808434,0.4649354329658606,0.215359929728248,-0.2495755032376126,5.552094626772016,1.6857605776292477,-3.8663340491427682,1.0007419266102497,0.5765176837021614,-0.42422424290808836,0.897367865398293,0.8374557097187648,-0.059912155679528234,0.2618310478258131,0.4200911178044458,0.15826006997863268
20260711,20260721,ood_combo_texture_shift,0.6326837413401779,0.6914585641403642,0.05877482280018631,0.6367946894262684,0.692271218587008,0.05547652916073964,0.26289465349395447,0.15619536065670933,-0.10669929283724514,2.1747650896698576,1.1385038111792956,-1.036261278490562,0.6092092203541107,0.4637879821112629,-0.14542123824284786,0.8996893429202228,0.8465109074946657,-0.05317843542555711,0.25807573900416136,0.3919125785433282,0.13383683953916686
20260711,20260721,ood_noise,0.6735818078090371,0.6918569136878675,0.01827510587883041,0.6737790422000949,0.689900426742532,0.016121384542437167,0.23815391254741589,0.165050175586771,-0.0731037369606449,2.0042487435631284,1.1708561167860856,-0.8333926267770428,0.5424560025555722,0.4705618576340514,-0.07189414492152085,0.9119329547475107,0.854950602329303,-0.056982352418207705,0.22443428068886667,0.3768410401129912,0.15240675942412452
20260711,20260721,ood_shift_negative,0.6939097380020992,0.7172768524443649,0.02336711444226569,0.6941678520625889,0.7178757705073494,0.0237079184447605,0.22603786969535328,0.14959499744399002,-0.07644287225136326,1.850485188769862,1.0371710751296264,-0.8133141136402355,0.5146148300790132,0.42681732274675044,-0.08779750733226277,0.9202057217579421,0.8674207590608701,-0.052784962697072,0.20430982668987924,0.34435239043915433,0.1400425637492751
20260711,20260721,ood_shift_positive,0.6909033096202626,0.7254543111513277,0.03455100153106516,0.6941678520625889,0.7249881460407777,0.03082029397818875,0.22198332944375299,0.1474749446197843,-0.07450838482396868,1.93566609856143,1.0499923674408593,-0.8856737311205707,0.5144023064961456,0.418029526854249,-0.09637277964189661,0.9157254113694286,0.8703592444212305,-0.04536616694819817,0.21335217094739398,0.33557443078732685,0.12222225983993287
20260711,20260721,ood_texture,0.6291368661420993,0.6936151884081181,0.0644783222660188,0.6339497392128971,0.6936936936936937,0.05974395448079661,0.27017835578176863,0.16252021192656474,-0.10765814385520389,2.16476001473685,1.145031998737003,-1.0197280159998472,0.6080385993250815,0.46522100881944184,-0.1428175905056397,0.9041280949946657,0.8562139056202585,-0.04791418937440728,0.2477321944516576,0.376622797689112,0.1288906032374544
20260711,20260722,in_range,0.7012643747227203,0.7145287714352226,0.013264396712502347,0.7022285443338074,0.7150308202939782,0.012802275960170806,0.22121328513958038,0.15725064085467044,-0.06396264428490994,1.8405375705263203,1.032717700610156,-0.8078198699161643,0.5002878893067902,0.42013157952081903,-0.08015630978597121,0.9234418294733878,0.8722814611486487,-0.051160368324739136,0.19776660935644522,0.32902906484313155,0.13126245548668633
20260711,20260722,level0,0.6969800325643246,0.7236251275752741,0.02664509501094947,0.6984352773826458,0.7240398293029872,0.02560455192034139,0.2209413617976529,0.1500442671289711,-0.0708970946686818,1.8275045097361167,1.0244626384845836,-0.803041871251533,0.4960855203188472,0.4162581307006577,-0.07982738961818947,0.9193766391802988,0.8736773111516122,-0.04569932802868659,0.20228780966158735,0.3276900302709521,0.12540222060936476
