training_seed,run_id,method,evaluation_seed,profile,macro_f1,accuracy,ece,nll,brier,mean_confidence,mean_entropy
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,level0,0.6969800325643246,0.6984352773826458,0.2209413617976529,1.8275045097361167,0.4960855203188472,0.9193766391802988,0.20228780966158735
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,in_range,0.6949786175124558,0.6960644855381698,0.22346692652767902,1.8646293154462428,0.5069381745018514,0.9191836650589734,0.20524087539880953
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_shift_negative,0.6939097380020992,0.6941678520625889,0.22603786969535328,1.850485188769862,0.5146148300790132,0.9202057217579421,0.20430982668987924
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_shift_positive,0.6909033096202626,0.6941678520625889,0.22198332944375299,1.93566609856143,0.5144023064961456,0.9157254113694286,0.21335217094739398
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_broadening,0.4460325031933818,0.4400189663347558,0.4585374205414296,5.522526587074232,0.9805014944174467,0.898178310403331,0.2607556158176187
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_noise,0.6735818078090371,0.6737790422000949,0.23815391254741589,2.0042487435631284,0.5424560025555722,0.9119329547475107,0.22443428068886667
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_background,0.6845248502836292,0.6865813181602656,0.2290496319716098,1.919713463681153,0.5232822092414715,0.9148643786673186,0.21781431429272868
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_texture,0.6291368661420993,0.6339497392128971,0.27017835578176863,2.16476001473685,0.6080385993250815,0.9041280949946657,0.2477321944516576
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_combo_shift_broadening,0.4375171173408034,0.43243243243243246,0.4649354329658606,5.552094626772016,1.0007419266102497,0.897367865398293,0.2618310478258131
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_combo_background_noise,0.6363712152012821,0.6344238975817923,0.25834268684803224,2.2023123390450214,0.6137277729996048,0.8927300038525368,0.2732617993411703
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_combo_texture_shift,0.6326837413401779,0.6367946894262684,0.26289465349395447,2.1747650896698576,0.6092092203541107,0.8996893429202228,0.25807573900416136
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260721,ood_all,0.3451239483753939,0.34708392603129445,0.49547847858137745,4.718264193680575,1.096621212867319,0.8425624046126718,0.4100754211749935
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,level0,0.6969800325643246,0.6984352773826458,0.2209413617976529,1.8275045097361167,0.4960855203188472,0.9193766391802988,0.20228780966158735
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,in_range,0.7012643747227203,0.7022285443338074,0.22121328513958038,1.8405375705263203,0.5002878893067902,0.9234418294733878,0.19776660935644522
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_shift_negative,0.6977689270425497,0.6974869606448554,0.22222851192063772,1.808685113472173,0.5052149498794102,0.9193674940359767,0.2074455343672396
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_shift_positive,0.6898511890931535,0.6927453769559033,0.22441836882112381,1.9625132857016663,0.5132064710990921,0.9168305846965387,0.2111824382132707
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_broadening,0.44682396317802553,0.4419155998103367,0.4517343592564603,5.543099545466425,0.9757128108670611,0.8935473945368065,0.2674294515541951
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_noise,0.6833752762833674,0.6832622095779991,0.2289812170311759,1.932671238733232,0.5320351584046865,0.9118639610004742,0.2274867350010872
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_background,0.6918622279994695,0.6936936936936937,0.2201056808247392,1.9076811422264188,0.5099836875374749,0.913799374518433,0.21885724586299116
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_texture,0.6380331576918127,0.6410621147463252,0.25807585700420815,2.102260825709707,0.5922875650968213,0.898439467942449,0.26129206965637236
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_combo_shift_broadening,0.4430217186502689,0.4366998577524893,0.4542974306543386,5.677557864347106,0.9808379167679304,0.8902872084666904,0.27410236189809417
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_combo_background_noise,0.6354152770073241,0.6344238975817923,0.2630898270803699,2.230876062929619,0.6054648610703317,0.8968101273559744,0.2655062660810386
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_combo_texture_shift,0.6223568051434173,0.6258890469416786,0.27151632512446655,2.1507931713052075,0.6236678488858987,0.8974053720661451,0.26175188255625836
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260722,ood_all,0.34658932740447584,0.3508771929824561,0.4883504752696776,4.519767233728446,1.0843295791828325,0.8392276682521337,0.4126311624147855
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260723,level0,0.6969800325643246,0.6984352773826458,0.2209413617976529,1.8275045097361167,0.4960855203188472,0.9193766391802988,0.20228780966158735
20260711,seed_20260711_dynamic_erm,dynamic_erm,20260723,in_range,0.7038175185668314,0.7050734945471787,0.21772748025574923,1.866955389525552,0.5017758139709646,0.9228009748029279,0.19908296509143178
