training_seed,method,macro_f1,accuracy,ece,nll,brier,mean_confidence,mean_entropy
20260711,dynamic_erm,0.20672340362415262,0.1949685534591195,0.6820699604427289,7.700313236974646,1.4281942629701605,0.8770385139018485,0.3120239217712744
20260711,dynamic_js,0.22124424888283936,0.22012578616352202,0.6018154655799925,5.509714617721152,1.3105304030713067,0.8191364997025555,0.4568297016522246
20260712,dynamic_erm,0.1469314460190874,0.18238993710691823,0.6795836688025192,8.17452243529307,1.4467812829441287,0.8619736059094375,0.3389309054479175
20260712,dynamic_js,0.1755637530229103,0.18867924528301888,0.6566978584295549,6.93511193846801,1.363703804429355,0.8453771037125738,0.38039376249736884
20260713,dynamic_erm,0.18417607177334316,0.21069182389937108,0.6701894397818067,8.58919446582347,1.39882604966981,0.8808812636811778,0.28118291097397013
20260713,dynamic_js,0.19711925267400357,0.2138364779874214,0.6317823629521724,7.06480394719224,1.3411235911132893,0.8440318057934443,0.37398830552732437
20260714,dynamic_erm,0.21486615744219506,0.22327044025157233,0.6592295415371469,8.593500682049223,1.4125513449750682,0.8824999817887192,0.2815596629102289
20260714,dynamic_js,0.22952607812014655,0.2138364779874214,0.5509649495471199,4.2909485914771635,1.2242471195092655,0.7648014275345413,0.5988825004669613
20260715,dynamic_erm,0.18916044565915469,0.18867924528301888,0.7217785195921953,8.542408381824092,1.4828514411452243,0.910457764875214,0.23481465036480884
20260715,dynamic_js,0.21196955910331705,0.2138364779874214,0.6252315502684072,6.792248708098729,1.338424269036378,0.8390680282558285,0.39976090504761486
