K,episode_seed,train_seed,ERM_acc,JS_acc,delta,ERM_epochs,JS_epochs
1,42,20260711,0.2063492089509964,0.2698412835597992,0.0634920746088028,169,104
1,42,20260712,0.1746031790971756,0.2539682686328888,0.0793650895357132,156,112
1,42,20260713,0.2063492089509964,0.2380952388048172,0.0317460298538208,146,149
1,42,20260714,0.2063492089509964,0.2380952388048172,0.0317460298538208,99,119
1,42,20260715,0.1746031790971756,0.1746031790971756,0.0,171,83
1,123,20260711,0.1587301641702652,0.2063492089509964,0.0476190447807312,130,163
1,123,20260712,0.2539682686328888,0.2857142984867096,0.0317460298538208,162,143
1,123,20260713,0.2539682686328888,0.2063492089509964,-0.047619059681892395,169,167
1,123,20260714,0.1428571492433548,0.2698412835597992,0.1269841343164444,142,111
1,123,20260715,0.2539682686328888,0.2063492089509964,-0.047619059681892395,114,158
1,456,20260711,0.1746031790971756,0.1746031790971756,0.0,94,100
1,456,20260712,0.2222222238779068,0.2380952388048172,0.0158730149269104,96,120
1,456,20260713,0.1587301641702652,0.1587301641702652,0.0,84,92
1,456,20260714,0.1587301641702652,0.2222222238779068,0.0634920597076416,75,112
1,456,20260715,0.2222222238779068,0.1746031790971756,-0.0476190447807312,90,123
1,789,20260711,0.190476194024086,0.2857142984867096,0.0952381044626236,123,94
1,789,20260712,0.190476194024086,0.30158731341362,0.111111119389534,92,120
1,789,20260713,0.2380952388048172,0.2698412835597992,0.031746044754981995,139,171
1,789,20260714,0.2063492089509964,0.3333333432674408,0.1269841343164444,132,171
1,789,20260715,0.2380952388048172,0.2539682686328888,0.015873029828071594,90,131
1,1024,20260711,0.190476194024086,0.2222222238779068,0.0317460298538208,156,134
1,1024,20260712,0.190476194024086,0.30158731341362,0.111111119389534,182,146
1,1024,20260713,0.190476194024086,0.2380952388048172,0.0476190447807312,162,150
1,1024,20260714,0.1587301641702652,0.2222222238779068,0.0634920597076416,170,157
1,1024,20260715,0.1746031790971756,0.2539682686328888,0.0793650895357132,126,149
2,42,20260711,0.2142857164144516,0.2857142984867096,0.071428582072258,200,200
2,42,20260712,0.1964285671710968,0.25,0.0535714328289032,200,200
2,42,20260713,0.1964285671710968,0.2321428507566452,0.0357142835855484,200,200
2,42,20260714,0.1785714328289032,0.3035714328289032,0.125,193,200
2,42,20260715,0.1964285671710968,0.2678571343421936,0.0714285671710968,194,147
2,123,20260711,0.1785714328289032,0.1428571492433548,-0.0357142835855484,200,200
2,123,20260712,0.2321428507566452,0.25,0.017857149243354797,200,200
2,123,20260713,0.2142857164144516,0.1428571492433548,-0.0714285671710968,200,200
2,123,20260714,0.125,0.1607142835855484,0.0357142835855484,200,200
2,123,20260715,0.1964285671710968,0.2678571343421936,0.0714285671710968,184,200
2,456,20260711,0.1607142835855484,0.2321428507566452,0.0714285671710968,200,200
2,456,20260712,0.1964285671710968,0.25,0.0535714328289032,200,200
2,456,20260713,0.1428571492433548,0.1607142835855484,0.017857134342193604,180,200
2,456,20260714,0.1607142835855484,0.2321428507566452,0.0714285671710968,179,200
2,456,20260715,0.1964285671710968,0.25,0.0535714328289032,139,200
2,789,20260711,0.2321428507566452,0.3035714328289032,0.071428582072258,200,200
2,789,20260712,0.25,0.3214285671710968,0.0714285671710968,200,200
2,789,20260713,0.2678571343421936,0.3035714328289032,0.035714298486709595,200,200
2,789,20260714,0.2321428507566452,0.3214285671710968,0.0892857164144516,200,200
2,789,20260715,0.2142857164144516,0.3035714328289032,0.0892857164144516,200,200
2,1024,20260711,0.1785714328289032,0.2142857164144516,0.0357142835855484,200,200
2,1024,20260712,0.1785714328289032,0.2678571343421936,0.0892857015132904,200,200
2,1024,20260713,0.25,0.2142857164144516,-0.0357142835855484,200,200
2,1024,20260714,0.1964285671710968,0.1964285671710968,0.0,200,200
2,1024,20260715,0.1964285671710968,0.3214285671710968,0.125,200,200
5,42,20260711,0.3142857253551483,0.37142857909202576,0.05714285373687744,200,200
5,42,20260712,0.22857142984867096,0.3142857253551483,0.08571429550647736,200,200
5,42,20260713,0.2571428716182709,0.34285715222358704,0.08571428060531616,200,200
5,42,20260714,0.17142857611179352,0.4000000059604645,0.22857142984867096,200,200
5,42,20260715,0.20000000298023224,0.34285715222358704,0.1428571492433548,200,200
5,123,20260711,0.2571428716182709,0.20000000298023224,-0.057142868638038635,200,200
5,123,20260712,0.1428571492433548,0.3142857253551483,0.17142857611179352,200,200
5,123,20260713,0.20000000298023224,0.22857142984867096,0.02857142686843872,200,200
5,123,20260714,0.17142857611179352,0.22857142984867096,0.05714285373687744,200,200
5,123,20260715,0.17142857611179352,0.2571428716182709,0.08571429550647736,200,200
5,456,20260711,0.17142857611179352,0.20000000298023224,0.02857142686843872,200,200
5,456,20260712,0.20000000298023224,0.1428571492433548,-0.05714285373687744,200,200
5,456,20260713,0.08571428805589676,0.17142857611179352,0.08571428805589676,200,200
5,456,20260714,0.1428571492433548,0.2571428716182709,0.11428572237491608,200,200
5,456,20260715,0.20000000298023224,0.2857142984867096,0.08571429550647736,200,200
5,789,20260711,0.22857142984867096,0.2571428716182709,0.028571441769599915,200,200
