K,episode_seed,train_seed,ERM_acc,JS_acc,delta
1,42,20260711,0.2063492238521576,0.2857142984867096,0.079365074634552
1,42,20260712,0.1746031790971756,0.2539682686328888,0.0793650895357132
1,42,20260713,0.2063492238521576,0.2380952537059784,0.0317460298538208
1,42,20260714,0.1904762089252472,0.2539682686328888,0.0634920597076416
1,42,20260715,0.1904762089252472,0.1746031790971756,-0.015873029828071594
1,123,20260711,0.1587301641702652,0.1904762089252472,0.031746044754981995
1,123,20260712,0.2539682686328888,0.2857142984867096,0.0317460298538208
1,123,20260713,0.2539682686328888,0.2063492238521576,-0.0476190447807312
1,123,20260714,0.1428571492433548,0.2698412835597992,0.1269841343164444
1,123,20260715,0.2380952537059784,0.2063492238521576,-0.0317460298538208
1,456,20260711,0.1904762089252472,0.1746031790971756,-0.015873029828071594
1,456,20260712,0.222222238779068,0.2698412835597992,0.0476190447807312
1,456,20260713,0.1746031790971756,0.1587301641702652,-0.0158730149269104
1,456,20260714,0.1587301641702652,0.2380952537059784,0.0793650895357132
1,456,20260715,0.222222238779068,0.1904762089252472,-0.0317460298538208
1,789,20260711,0.1904762089252472,0.2857142984867096,0.0952380895614624
1,789,20260712,0.222222238779068,0.2857142984867096,0.0634920597076416
1,789,20260713,0.2380952537059784,0.2698412835597992,0.0317460298538208
1,789,20260714,0.2063492238521576,0.3174603283405304,0.1111111044883728
1,789,20260715,0.2380952537059784,0.2539682686328888,0.0158730149269104
1,1024,20260711,0.1746031790971756,0.2063492238521576,0.031746044754981995
1,1024,20260712,0.1904762089252472,0.2857142984867096,0.0952380895614624
1,1024,20260713,0.1746031790971756,0.2063492238521576,0.031746044754981995
1,1024,20260714,0.1587301641702652,0.222222238779068,0.0634920746088028
1,1024,20260715,0.1746031790971756,0.2857142984867096,0.111111119389534
5,42,20260711,0.3142857253551483,0.37142857909202576,0.05714285373687744
5,42,20260712,0.22857142984867096,0.3142857253551483,0.08571429550647736
5,42,20260713,0.2571428716182709,0.34285715222358704,0.08571428060531616
5,42,20260714,0.17142857611179352,0.4000000059604645,0.22857142984867096
5,42,20260715,0.20000000298023224,0.34285715222358704,0.1428571492433548
5,123,20260711,0.2571428716182709,0.20000000298023224,-0.057142868638038635
5,123,20260712,0.1428571492433548,0.3142857253551483,0.17142857611179352
5,123,20260713,0.20000000298023224,0.22857142984867096,0.02857142686843872
5,123,20260714,0.17142857611179352,0.22857142984867096,0.05714285373687744
5,123,20260715,0.17142857611179352,0.2571428716182709,0.08571429550647736
5,456,20260711,0.17142857611179352,0.20000000298023224,0.02857142686843872
5,456,20260712,0.20000000298023224,0.1428571492433548,-0.05714285373687744
5,456,20260713,0.08571428805589676,0.17142857611179352,0.08571428805589676
5,456,20260714,0.1428571492433548,0.2571428716182709,0.11428572237491608
5,456,20260715,0.20000000298023224,0.2857142984867096,0.08571429550647736
5,789,20260711,0.22857142984867096,0.2571428716182709,0.028571441769599915
5,789,20260712,0.2857142984867096,0.2571428716182709,-0.02857142686843872
5,789,20260713,0.2571428716182709,0.22857142984867096,-0.028571441769599915
5,789,20260714,0.2571428716182709,0.2857142984867096,0.02857142686843872
5,789,20260715,0.22857142984867096,0.3142857253551483,0.08571429550647736
5,1024,20260711,0.1428571492433548,0.17142857611179352,0.02857142686843872
5,1024,20260712,0.22857142984867096,0.37142857909202576,0.1428571492433548
5,1024,20260713,0.2857142984867096,0.22857142984867096,-0.057142868638038635
5,1024,20260714,0.22857142984867096,0.4000000059604645,0.17142857611179352
5,1024,20260715,0.17142857611179352,0.4285714328289032,0.2571428567171097
